process_name,quantity,wait_time,wip_count,machine_utilization
Grinding,1,25.0,624,96
Grinding,1,50.0,624,96
Grinding,1,25.0,624,96
Lathe,1,2.0,212,12
Additive,1,3.0,190,14
Milling,1,4.0,201,13
Grinding,1,0.0,624,96
Drilling,1,3.0,189,19
Drilling,1,24.0,189,3
Lathe,1,0.0,212,10
Grinding,1,125.0,624,96
Lathe,1,5.0,212,5
Additive,1,0.0,190,5
Additive,1,4.0,190,2
Additive,1,0.0,190,4
Lathe,1,0.0,212,20
Lathe,1,0.0,212,6
Milling,1,0.0,201,18
Lathe,1,5.0,212,9
Milling,1,0.0,201,17
Additive,1,14.0,190,7
Drilling,1,0.0,189,11
Grinding,1,115.0,624,96
Additive,1,0.0,190,3
Milling,1,0.0,201,2
Milling,1,0.0,201,9
Grinding,1,5.0,624,96
Grinding,1,10.0,624,96
Drilling,1,3.0,189,20
Lathe,1,13.0,212,20
Grinding,1,120.0,624,96
Drilling,1,1.0,189,18
Additive,1,0.0,190,4
Milling,1,2.0,201,12
Grinding,1,0.0,624,96
Lathe,1,0.0,212,3
Milling,1,3.0,201,18
Additive,1,0.0,190,5
Additive,1,1.0,190,13
Lathe,1,0.0,212,7
Milling,1,5.0,201,9
Milling,1,24.0,201,15
Drilling,1,4.0,189,15
Lathe,1,0.0,212,1
Lathe,1,4.0,212,20
Lathe,1,19.0,212,13
Grinding,1,0.0,624,96
Lathe,1,0.0,212,2
Drilling,1,20.0,189,18
Drilling,1,0.0,189,1
Drilling,1,0.0,189,20
Additive,1,0.0,190,14
Grinding,1,5.0,624,96
Additive,1,11.0,190,12
Milling,1,2.0,201,20
Lathe,1,29.0,212,18
Lathe,1,0.0,212,17
Drilling,1,13.0,189,3
Lathe,1,12.0,212,16
Lathe,1,0.0,212,18
Additive,1,1.0,190,20
Milling,1,0.0,201,5
Grinding,1,5.0,624,96
Drilling,1,2.0,189,11
Milling,1,3.0,201,14
Additive,1,2.0,190,16
Milling,1,0.0,201,16
Milling,1,12.0,201,11
Milling,1,21.0,201,3
Grinding,1,0.0,624,96
Additive,1,0.0,190,12
Drilling,1,0.0,189,2
Drilling,1,1.0,189,15
Drilling,1,16.0,189,5
Lathe,1,0.0,212,13
Drilling,1,2.0,189,7
Lathe,1,12.0,212,2
Additive,1,0.0,190,6
Grinding,1,0.0,624,96
Lathe,1,15.0,212,1
Grinding,1,0.0,624,96
Lathe,1,12.0,212,2
Lathe,1,18.0,212,14
Lathe,1,0.0,212,11
Milling,1,30.0,201,1
Drilling,1,23.0,189,13
Grinding,1,5.0,624,96
Grinding,1,25.0,624,96
Additive,1,0.0,190,8
Grinding,1,0.0,624,96
Lathe,1,14.0,212,4
Milling,1,0.0,201,13
Grinding,1,0.0,624,96
Grinding,1,0.0,624,96
